"PDE21099.DAT"
"DP-101  : Tipping bucket rain gage recorder"
"Processed file"
"File creation date   : 1999/11/23 at 15:38:42"
"By                   : WAYNE"
"Start date           : 09-24-99-11:35"
"Interval             : N/A"
"Preset factor        : 01"
"Calibration factors: sensor 1 : 1  sensor 2 : 1"
"Location : LAKE LAWRENCE  "
"Note : FUNNEL PLUGGED "

"MT" "DY" "YR" "HHMM" "TOTAL   "

10 28 1999  908      258
10 28 1999  924      259
10 28 1999  941      260
10 28 1999 1004      261
10 28 1999 1024      262
10 28 1999 1042      263
10 28 1999 1100      264
10 28 1999 1122      265
10 28 1999 1140      266
10 28 1999 1200      267
10 28 1999 1218      268
10 28 1999 1241      269
10 28 1999 1259      270
10 28 1999 1320      271
10 28 1999 1337      272
10 28 1999 1356      273
10 28 1999 1414      274
10 28 1999 1439      275
10 28 1999 1501      276
10 28 1999 1528      277
10 28 1999 1554      278
10 28 1999 1628      279
10 28 1999 1700      280
10 28 1999 1737      281
10 28 1999 1816      282
10 28 1999 1905      283
10 28 1999 1952      284
10 28 1999 2050      285
10 28 1999 2145      286
10 28 1999 2237      287
10 28 1999 2333      288
10 29 1999   48      289
10 29 1999  204      290
10 29 1999  337      291
10 29 1999  512      292
10 29 1999  724      293
10 29 1999  927      294
10 29 1999 1218      295
10 29 1999 1603      296
10 29 1999 2202      297
10 30 1999  423      298
10 30 1999 1227      299
10 30 1999 2000      300
10 31 1999  738      301
11  1 1999 1158      302
11  2 1999  922      303
11  2 1999 1007      304
11  2 1999 1159      305
11  2 1999 1327      306
11  2 1999 1501      307
11  2 1999 1757      308
11  3 1999  759      309
