"count","sum","year","month"
48,0.05,"1993","10"
600,3.76,"1993","11"
924,5.51,"1993","12"
672,3.18,"1994","01"
948,6.07,"1994","02"
744,4.98,"1994","03"
480,1.71,"1994","04"
372,1.29,"1994","05"
384,1.94,"1994","06"
84,0.38,"1994","07"
108,0.52,"1994","08"
192,1.29,"1994","09"
564,6.82,"1994","10"
852,6.06,"1994","11"
1116,10.85,"1994","12"
924,5.75,"1995","01"
624,6.16,"1995","02"
912,6.33,"1995","03"
552,2.62,"1995","04"
360,1.78,"1995","05"
276,1.28,"1995","06"
168,1.49,"1995","07"
240,1.32,"1995","08"
360,1.58,"1995","09"
756,4.87,"1995","10"
912,6.36,"1995","11"
876,6.07,"1995","12"
1068,7.24,"1996","01"
960,9.54,"1996","02"
612,2.77,"1996","03"
948,7.58,"1996","04"
684,3.24,"1996","05"
