"days","total.precip","max.flag"
1998-03-28,0,"FAIL"
1998-03-29,0,"FAIL"
1998-03-30,0,"FAIL"
1998-03-31,0,"FAIL"
1998-04-01,0,"FAIL"
1998-04-02,0,"FAIL"
1998-04-03,0,"FAIL"
1998-04-04,0,"FAIL"
1998-04-05,0,"FAIL"
1998-04-06,0,"FAIL"
1998-04-07,0,"FAIL"
1998-04-08,0,"FAIL"
1998-04-09,0,"FAIL"
1998-04-10,0,"FAIL"
1998-04-11,0,"FAIL"
1998-04-12,0,"FAIL"
1998-04-13,0,"FAIL"
1998-04-14,0,"FAIL"
1998-04-15,0,"FAIL"
1998-04-16,0,"FAIL"
1998-04-17,0,"FAIL"
1998-04-18,0,"FAIL"
1998-04-19,0,"FAIL"
1998-04-20,0,"FAIL"
1998-04-21,0,"FAIL"
1998-04-22,0,"FAIL"
1998-04-23,0,"FAIL"
1998-04-24,0,"FAIL"
1998-04-25,0,"FAIL"
1998-04-26,0,"FAIL"
1998-04-27,0,"FAIL"
1998-04-28,0,"FAIL"
1998-04-29,0,"FAIL"
1998-04-30,0,"FAIL"
1998-05-01,0,"FAIL"
1998-05-02,0,"FAIL"
1998-05-03,0,"FAIL"
1998-05-04,0,"FAIL"
1998-05-05,0,"FAIL"
1998-05-06,0,"FAIL"
1998-05-07,0,"FAIL"
1998-05-08,0,"FAIL"
1998-05-09,0,"FAIL"
1998-05-10,0,"FAIL"
1998-05-11,0,"FAIL"
1998-05-12,0,"FAIL"
1998-05-13,0.09,"Normal"
1998-05-14,0.05,"Normal"
1998-05-15,0.04,"Normal"
1998-05-16,0.02,"Normal"
1998-05-17,0.02,"Normal"
1998-05-18,0.01,"Normal"
1998-05-19,0,"Normal"
1998-05-20,0.01,"Normal"
1998-05-21,0,"Normal"
1998-05-22,0,"Normal"
1998-05-23,0.01,"Normal"
1998-05-24,0,"Normal"
1998-05-25,0.01,"Normal"
1998-05-26,0,"Normal"
1998-05-27,0,"Normal"
1998-05-28,0.01,"Normal"
