"days","total.precip","max.flag"
1995-03-26,0,"Normal"
1995-03-27,0,"Normal"
1995-03-28,0,"Normal"
1995-03-29,0,"Normal"
1995-03-30,0,"Normal"
1995-03-31,0.06,"Normal"
1995-04-01,0.04,"Normal"
1995-04-02,0,"Normal"
1995-04-03,0,"Normal"
1995-04-04,0.23,"Normal"
1995-04-05,0,"Normal"
1995-04-06,0.15,"Normal"
1995-04-07,0.37,"Normal"
1995-04-08,0.2,"Normal"
1995-04-09,0,"Normal"
1995-04-10,0.29,"Normal"
1995-04-11,0.01,"Normal"
1995-04-12,0.67,"Normal"
1995-04-13,0.03,"Normal"
1995-04-14,0.21,"Normal"
1995-04-15,0.03,"Normal"
1995-04-16,0,"Normal"
1995-04-17,0.02,"Normal"
1995-04-18,0.19,"Normal"
1995-04-19,0.2,"Normal"
1995-04-20,0.07,"Normal"
1995-04-21,0,"Normal"
1995-04-22,0,"Normal"
1995-04-23,0,"Normal"
1995-04-24,0,"Normal"
1995-04-25,0,"Normal"
1995-04-26,0,"Normal"
1995-04-27,0.4,"Normal"
1995-04-28,0.13,"Normal"
1995-04-29,0.04,"Normal"
1995-04-30,0,"Normal"
1995-05-01,0.59,"Normal"
1995-05-02,0.1,"Normal"
1995-05-03,0.05,"Normal"
1995-05-04,0.01,"Normal"
1995-05-05,0.31,"Normal"
1995-05-06,0,"Normal"
1995-05-07,0,"Normal"
1995-05-08,0.01,"Normal"
1995-05-09,0,"Normal"
1995-05-10,0,"Normal"
1995-05-11,0,"Normal"
1995-05-12,0,"Normal"
1995-05-13,0,"Normal"
1995-05-14,0,"Normal"
1995-05-15,0,"Normal"
1995-05-16,0,"Normal"
1995-05-17,0,"Normal"
1995-05-18,0,"Normal"
1995-05-19,0,"Normal"
1995-05-20,0,"Normal"
1995-05-21,0,"Normal"
1995-05-22,0,"Normal"
1995-05-23,0,"Normal"
1995-05-24,0,"Normal"
1995-05-25,0,"Normal"
1995-05-26,0,"Normal"
1995-05-27,0,"Normal"
1995-05-28,0,"Normal"
1995-05-29,0,"Normal"
1995-05-30,0,"Normal"
1995-05-31,0,"Normal"
1995-06-01,0,"Normal"
1995-06-02,0,"Normal"
1995-06-03,0,"Normal"
1995-06-04,0.03,"Normal"
1995-06-05,0.01,"Normal"
1995-06-06,0,"Normal"
1995-06-07,0.02,"FAIL"
1995-06-08,0,"FAIL"
1995-06-09,0,"FAIL"
1995-06-10,0,"FAIL"
1995-06-11,0,"FAIL"
1995-06-12,0,"FAIL"
1995-06-13,0,"FAIL"
1995-06-14,0,"FAIL"
1995-06-15,0,"FAIL"
1995-06-16,0,"FAIL"
1995-06-17,0,"FAIL"
1995-06-18,0,"FAIL"
1995-06-19,0,"FAIL"
1995-06-20,0,"FAIL"
1995-06-21,0,"FAIL"
1995-06-22,0,"FAIL"
1995-06-23,0,"FAIL"
1995-06-24,0,"FAIL"
1995-06-25,0,"FAIL"
1995-06-26,0,"FAIL"
1995-06-27,0,"FAIL"
1995-06-28,0,"FAIL"
1995-06-29,0,"FAIL"
1995-06-30,0,"FAIL"
1995-07-01,0,"FAIL"
1995-07-02,0,"FAIL"
1995-07-03,0,"FAIL"
1995-07-04,0,"FAIL"
1995-07-05,0,"FAIL"
1995-07-06,0,"FAIL"
1995-07-07,0,"FAIL"
1995-07-08,0,"FAIL"
1995-07-09,0,"FAIL"
1995-07-10,0,"FAIL"
1995-07-11,0,"FAIL"
1995-07-12,0,"FAIL"
1995-07-13,0,"FAIL"
1995-07-14,0,"FAIL"
1995-07-15,0,"FAIL"
1995-07-16,0,"FAIL"
1995-07-17,0,"FAIL"
1995-07-18,0,"FAIL"
1995-07-19,0,"FAIL"
1995-07-20,0,"FAIL"
1995-07-21,0,"FAIL"
1995-07-22,0,"FAIL"
1995-07-23,0,"FAIL"
1995-07-24,0,"FAIL"
1995-07-25,0,"FAIL"
1995-07-26,0,"FAIL"
1995-07-27,0,"FAIL"
1995-07-28,0,"FAIL"
1995-07-29,0,"FAIL"
1995-07-30,0,"FAIL"
1995-07-31,0,"FAIL"
1995-08-01,0,"FAIL"
1995-08-02,0,"FAIL"
1995-08-03,0,"FAIL"
1995-08-04,0,"FAIL"
1995-08-05,0,"FAIL"
1995-08-06,0,"FAIL"
1995-08-07,0,"FAIL"
1995-08-08,0,"FAIL"
1995-08-09,0,"FAIL"
1995-08-10,0,"FAIL"
1995-08-11,0,"FAIL"
1995-08-12,0,"FAIL"
1995-08-13,0,"FAIL"
1995-08-14,0,"FAIL"
1995-08-15,0,"FAIL"
1995-08-16,0,"Normal"
1995-08-17,0.27,"Normal"
1995-08-18,0.01,"Normal"
1995-08-19,0,"Normal"
1995-08-20,0,"Normal"
1995-08-21,0,"Normal"
1995-08-22,0,"Normal"
1995-08-23,0,"Normal"
1995-08-24,0,"Normal"
1995-08-25,0,"Normal"
1995-08-26,0,"Normal"
1995-08-27,0,"Normal"
1995-08-28,0.01,"Normal"
1995-08-29,0.01,"Normal"
1995-08-30,0,"Normal"
1995-08-31,0,"Normal"
1995-09-01,0,"Normal"
1995-09-02,0,"Normal"
1995-09-03,0,"Normal"
1995-09-04,0.21,"Normal"
1995-09-05,0.01,"Normal"
1995-09-06,0.06,"Normal"
1995-09-07,0.02,"Normal"
1995-09-08,0,"Normal"
1995-09-09,0,"Normal"
1995-09-10,0,"Normal"
1995-09-11,0,"Normal"
1995-09-12,0,"Normal"
1995-09-13,0.01,"Normal"
1995-09-14,0,"Normal"
1995-09-15,0,"Normal"
1995-09-16,0,"Normal"
1995-09-17,0,"Normal"
1995-09-18,0,"Normal"
1995-09-19,0,"Normal"
1995-09-20,0,"Normal"
1995-09-21,0,"Normal"
1995-09-22,0,"Normal"
1995-09-23,0,"Normal"
1995-09-24,0,"Normal"
1995-09-25,0.27,"Normal"
1995-09-26,0.28,"Normal"
1995-09-27,0.73,"Normal"
1995-09-28,0.08,"FAIL"
1995-09-29,0.11,"FAIL"
1995-09-30,0,"FAIL"
1995-10-01,0,"FAIL"
1995-10-02,0.01,"FAIL"
1995-10-03,0,"FAIL"
1995-10-04,0,"FAIL"
1995-10-05,0,"FAIL"
1995-10-06,0,"FAIL"
1995-10-07,0,"FAIL"
1995-10-08,0,"FAIL"
1995-10-09,0,"FAIL"
1995-10-10,0.04,"FAIL"
1995-10-11,0.01,"FAIL"
1995-10-12,0,"FAIL"
1995-10-13,0,"FAIL"
1995-10-14,0,"FAIL"
1995-10-15,0,"FAIL"
1995-10-16,0.01,"FAIL"
1995-10-17,0.01,"FAIL"
1995-10-18,0,"FAIL"
1995-10-19,0,"FAIL"
1995-10-20,0.01,"FAIL"
1995-10-21,0,"FAIL"
1995-10-22,0,"FAIL"
1995-10-23,0,"FAIL"
1995-10-24,0,"FAIL"
1995-10-25,0.01,"UNK"
1995-10-26,0.01,"UNK"
1995-10-27,0,"UNK"
1995-10-28,0,"UNK"
1995-10-29,0,"UNK"
1995-10-30,0,"UNK"
1995-10-31,0,"UNK"
1995-11-01,0,"UNK"
1995-11-02,0,"UNK"
1995-11-03,0,"UNK"
1995-11-04,0,"UNK"
1995-11-05,0,"UNK"
1995-11-06,0.02,"UNK"
1995-11-07,0.04,"UNK"
1995-11-08,0.02,"UNK"
1995-11-09,0,"UNK"
1995-11-10,0.02,"UNK"
1995-11-11,0,"UNK"
1995-11-12,0.01,"UNK"
1995-11-13,0.02,"UNK"
1995-11-14,0,"UNK"
1995-11-15,0,"UNK"
1995-11-16,0,"UNK"
1995-11-17,0,"UNK"
1995-11-18,0,"UNK"
1995-11-19,0,"UNK"
1995-11-20,0,"UNK"
1995-11-21,0.01,"UNK"
1995-11-22,0,"UNK"
1995-11-23,0.02,"UNK"
1995-11-24,0,"UNK"
1995-11-25,0.01,"UNK"
1995-11-26,0,"UNK"
1995-11-27,0.03,"UNK"
1995-11-28,0,"UNK"
1995-11-29,0.03,"UNK"
1995-11-30,0.02,"UNK"
1995-12-01,0.01,"UNK"
1995-12-02,0.01,"UNK"
1995-12-03,0.01,"UNK"
1995-12-04,0.03,"UNK"
1995-12-05,0,"UNK"
1995-12-06,0,"UNK"
1995-12-07,0,"UNK"
1995-12-08,0,"UNK"
1995-12-09,0.76,"UNK"
1995-12-10,0.89,"UNK"
1995-12-11,0.65,"UNK"
1995-12-12,1.03,"Normal"
1995-12-13,0.25,"Normal"
1995-12-14,0.77,"Normal"
1995-12-15,0.09,"Normal"
1995-12-16,0,"Normal"
1995-12-17,0.4,"Normal"
1995-12-18,0.17,"Normal"
1995-12-19,0,"Normal"
1995-12-20,0,"Normal"
1995-12-21,0,"Normal"
1995-12-22,0,"Normal"
1995-12-23,0,"Normal"
1995-12-24,0.01,"Normal"
1995-12-25,0.01,"Normal"
1995-12-26,0,"Normal"
1995-12-27,0.1,"Normal"
1995-12-28,0.7,"Normal"
1995-12-29,0.72,"Normal"
1995-12-30,0.41,"Normal"
