"","STATION","STATION_NAME","DATE","PRCP","days","total.precip","max.flag","cooksd","tc.station"
"40","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981113",2.59,1998-11-13,4.63,"Normal",0.249146640678572,"PBL2"
"41","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981120",2.42,1998-11-20,4.39,"Normal",0.220824123878576,"PBL2"
"42","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990128",2.25,1999-01-28,3.97,"Normal",0.116346243891886,"PBL2"
"43","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991112",1.3,1999-11-12,1.08,"Normal",0.0692712439246977,"PBL2"
"44","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991214",1.33,1999-12-14,2.86,"Normal",0.0740013812888905,"PBL2"
"45","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19930124",0.91,1993-01-24,1.27,"Normal",0.206188894073321,"PDE1"
"46","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960119",0.2,1996-01-19,0.89,"Normal",0.151664740425121,"PDE1"
"47","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960207",1.98,1996-02-07,1.96,"Normal",0.201879452804886,"PDE1"
"48","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19921210",1.15,1992-12-10,1.62,"Normal",0.078123376171223,"PDE2"
"49","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19940213",1.5,1994-02-13,1.58,"Normal",0.0418592653380817,"PDE2"
"50","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19940215",1.1,1994-02-15,0.24,"Normal",0.057969595246629,"PDE2"
"51","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941026",1.52,1994-10-26,2.15,"Normal",0.25333990732933,"PDE2"
"52","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941031",2.95,1994-10-31,2.99,"Normal",0.521797756304751,"PDE2"
"53","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941219",1.37,1994-12-19,0.51,"Normal",0.0764078068801681,"PDE2"
"54","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941226",2.45,1994-12-26,1.4,"Normal",0.233626224607234,"PDE2"
"55","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19950218",2.08,1995-02-18,1.37,"Normal",0.0433857141014163,"PDE2"
"56","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960115",1.09,1996-01-15,1.37,"Normal",0.0354117413084311,"PDE2"
"57","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960206",1.95,1996-02-06,1.89,"Normal",0.0577447145459631,"PDE2"
"58","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960207",1.98,1996-02-07,1.99,"Normal",0.089106602855453,"PDE2"
"59","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960208",2.75,1996-02-08,3.39,"Normal",1.52584372544845,"PDE2"
"60","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960422",1.36,1996-04-22,0.57,"Normal",0.0586130023144893,"PDE2"
"61","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970318",1.9,1997-03-18,0.55,"Normal",0.421307721275469,"PDE2"
"62","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971004",0.72,1997-10-04,1.64,"Normal",0.0684651993074771,"PDE2"
"63","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971029",1.34,1997-10-29,1.44,"Normal",0.0305819429727378,"PDE2"
"64","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19980105",1.46,1998-01-05,1.63,"Normal",0.0578081085158356,"PDE2"
"65","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981227",2.58,1998-12-27,2.82,"Normal",0.543822557797788,"PDE2"
"66","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990128",2.25,1999-01-28,1.4,"Normal",0.0971645208227612,"PDE2"
"67","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991214",1.33,1999-12-14,0.57,"Normal",0.0508401326627093,"PDE2"
"68","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991215",2.53,1999-12-15,1.6,"Normal",0.139645660144332,"PDE2"
"69","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19931231",0.93,1993-12-31,0.4,"Normal",0.036279956366319,"PEA1"
"70","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941027",0.76,1994-10-27,1.32,"Normal",0.0345596988350056,"PEA1"
"71","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941031",2.95,1994-10-31,3.16,"Normal",0.200025983096604,"PEA1"
"72","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941130",2.5,1994-11-30,2.17,"Normal",0.0594556852019451,"PEA1"
