"count","sum","year","month"
12,0.04,"1994","09"
696,12.42,"1994","10"
1308,14.66,"1994","11"
1272,23.27,"1994","12"
864,9.25,"1995","01"
684,10.62,"1995","02"
1104,11.4,"1995","03"
876,4.78,"1995","04"
456,1.32,"1995","05"
360,1.42,"1995","06"
120,2.31,"1995","07"
132,0.77,"1995","08"
420,3.67,"1995","09"
816,10.18,"1995","10"
792,7.4,"1996","01"
1296,14.02,"1996","02"
792,4.43,"1996","03"
1116,13.59,"1996","04"
780,5.25,"1996","05"
24,0.04,"1996","06"
36,0.09,"1996","08"
576,3.29,"1996","09"
1044,11.13,"1996","10"
1524,11.95,"1996","11"
1416,11.53,"1996","12"
1056,8.23,"1997","01"
996,8.65,"1997","02"
48,1.82,"1997","03"
972,7.88,"1997","04"
672,4.21,"1997","05"
348,1.62,"1997","06"
192,1.96,"1997","07"
336,2.47,"1997","08"
708,8.71,"1997","09"
1044,12.13,"1997","10"
1164,9.14,"1997","11"
1020,9.59,"1997","12"
1644,15.94,"1998","01"
1356,7.69,"1998","02"
1164,8.73,"1998","03"
564,1.38,"1998","04"
624,3.01,"1998","05"
240,1.06,"1998","06"
132,0.28,"1998","07"
108,0.43,"1998","09"
804,5.98,"1998","10"
1332,20.02,"1998","11"
996,14.17,"1998","12"
1368,19.08,"1999","01"
324,3.84,"1999","02"
1344,10.41,"1999","03"
672,2.3,"1999","04"
720,3.42,"1999","05"
456,1.76,"1999","06"
192,0.67,"1999","07"
336,0.71,"1999","08"
180,0.21,"1999","09"
492,0.78,"1999","10"
1524,15.86,"1999","11"
1212,17.24,"1999","12"
468,4.23,"2000","01"
