STATION,STATION_NAME,DATE,PRCP
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880329,0.16
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880330,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880331,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880401,0.17
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880402,0.83
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880403,0.33
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880404,0.16
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880405,0.96
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880406,1.09
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880407,0.10
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880408,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880409,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880410,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880411,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880412,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880413,0.08
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880414,0.07
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880415,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880416,0.01
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880417,0.01
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880418,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880419,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880420,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880421,0.12
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880422,0.03
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880423,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880424,0.08
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880425,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880426,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880427,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880428,0.16
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880429,0.41
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880430,0.29
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880501,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880502,0.27
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880503,0.21
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880504,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880505,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880506,0.16
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880507,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880508,0.05
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880509,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880510,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880511,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880512,0.36
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880513,0.37
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880514,0.04
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880515,0.02
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880516,0.43
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880517,0.10
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19880518,0.05
